jurisdiccion_nombre,primera_dosis,segunda_dosis,porcentaje_primera_dosis,porcentaje_segunda_dosis,Poblacion2020
Buenos Aires,10623902,4884174,"60,5656268312306","27,844106606292",17541141
CABA,2177856,1264009,"70,809709569957","41,0973499550989",3075646
Catamarca,278900,91690,"67,1339646349154","22,0706820271617",415438
Chaco,643499,283531,"53,4227560539658","23,538509689583",1204541
Chubut,346158,157327,"55,9226745331942","25,4165630038417",618994
Cordoba,2323609,1213558,"61,7907165365847","32,2716164288848",3760450
Corrientes,647565,265633,"57,7769827114715","23,7002822088845",1120801
Entre Rios,814025,334872,"58,7336151594453","24,1617188362443",1385961
Formosa,407784,168247,"67,3808190114559","27,8005528814775",605193
Jujuy,479587,193711,"62,2128447840847","25,1285217822206",770881
La Pampa,231803,151684,"64,6721238296115","42,3192384523531",358428
La Rioja,256198,125160,"65,1023680472441","31,8043559465455",393531
Mendoza,1162948,583958,"58,4296737539051","29,3396397998732",1990338
Misiones,590037,265872,"46,780290717311","21,0793042700592",1261294
Neuquen,419614,201990,"63,1894551220754","30,4175695761057",664057
Rio Negro,476847,239779,"63,7828546969677","32,0727384598922",747610
Salta,754629,317918,"52,978839466806","22,3194797517827",1424397
San Juan,472984,255167,"60,5445094000771","32,6627556747997",781217
San Luis,321513,193558,"63,2491226137455","38,0773831069703",508328
Santa Cruz,194312,106644,"53,1345536480921","29,1617673599527",365698
Santa Fe,2264473,1138311,"64,0329565113626","32,1882481086795",3536418
Santiago del Estero,632348,306344,"64,6365733666015","31,3134957830469",978313
Tierra del Fuego,105801,62724,"61,0043129295632","36,1663360856128",173432
Tucuman,979784,549152,"57,8160995505873","32,4049246572756",1694656
